town,total_population,median_household_income,per_capita_income,median_age,median_home_value,pct_owner_occupied,pct_in_labor_force,pct_unemployed,pct_white,pct_poverty,pct_bachelors_plus,margin,winner
Edinburg,172,69583,34206.0,57.5,220800,96.0,49.6551724137931,2.7777777777777777,98.83720930232558,1.744186046511628,31.428571428571427,40.81632653061225,1
Eliot,7146,101522,57293.0,50.8,498900,79.76973684210526,69.1257718557036,3.6436295251527975,87.69941225860622,4.7998880492583265,43.62295376866343,-19.815262810644384,0
Ellsworth,8657,77375,35887.0,43.0,242300,66.71133744304475,58.89248181083266,2.8140013726835966,91.99491740787802,9.263459472364808,39.33454876937101,0.12453300124532518,1
Embden,995,56875,36139.0,60.6,173400,96.33867276887872,42.9228998849252,3.485254691689008,91.05527638190955,12.209889001009081,16.23222748815166,34.157650695517766,1
Enfield,1462,62667,32178.0,49.8,178100,95.88414634146342,52.11382113821138,0.0,94.32284541723666,6.839945280437757,24.031690140845072,42.66365688487585,1
Etna,1252,72379,31163.0,41.9,183000,94.9290060851927,58.248847926267274,5.69620253164557,95.7667731629393,15.495207667731629,13.877118644067796,43.09623430962343,1
Eustis,453,32118,26152.0,59.1,262200,61.83745583038869,39.722863741339495,2.3255813953488373,98.01324503311258,22.958057395143488,13.008130081300814,23.10756972111554,1
Exeter,1093,84408,37551.0,52.6,166700,93.0648769574944,69.11045943304008,2.4045261669024045,98.35315645013723,8.142726440988106,14.960629921259844,42.18181818181819,1
Fairfield,6519,64101,33271.0,43.1,164300,78.57889237199582,62.915833484820936,2.7737648078590005,94.78447614664826,10.867522705919198,15.382983237852748,15.564779128372372,1
Falmouth,12755,150919,87611.0,47.0,767500,84.44578071757867,59.479517118543434,2.72833139244718,85.55860446883575,2.2964675863168806,72.64643770145605,-42.2349570200573,0
Farmingdale,3017,71635,43816.0,45.8,249700,65.60111188325226,65.96447748864107,4.884157795867251,92.47596950613192,13.773458445040216,47.24556489262371,-7.30088495575221,0
Farmington,8157,54276,36499.0,38.2,166600,55.05425471159337,61.46863568622138,5.157593123209169,89.99632217727105,15.418627870489232,38.06640983305816,-13.683662851196658,0
Fayette,1383,59500,38455.0,58.8,257600,88.70967741935483,42.68707482993197,3.386454183266932,95.01084598698482,7.881417208966016,39.30211202938476,6.775700934579447,1
Fort Fairfield,3309,70852,45492.0,49.7,161000,78.23800131492439,59.42126514131898,9.060022650056625,92.38440616500453,10.275007555152614,34.99810821036701,18.757612667478682,1
Fort Kent,4150,56270,49505.0,45.9,160700,78.89908256880734,60.76369673491976,1.9581056466302367,88.21686746987952,11.151641479937467,35.19872813990461,16.489607390300236,1
Frankfort,1098,80000,32319.0,50.2,211300,91.1522633744856,59.97899159663865,1.5761821366024518,93.16939890710383,16.37372802960222,30.972388955582232,31.78519593613933,1
Franklin,1628,65455,34808.0,46.0,245800,76.79558011049724,69.31486880466473,7.886435331230284,90.66339066339066,15.724815724815725,28.493364558938328,12.696747114375654,1
Freedom,670,64861,32478.0,40.1,190600,90.22556390977444,63.3147113594041,4.411764705882353,93.88059701492537,11.492537313432836,23.173277661795407,9.409190371991244,1
Freeport,8802,107326,60370.0,48.8,508400,77.63612217795485,61.58293186510667,4.760840411265088,91.58145875937286,8.546712802768166,59.635222006278966,-43.18783068783068,0
Frenchville,971,55461,29636.0,54.4,137300,84.79809976247031,53.439803439803434,0.0,99.69104016477857,18.624338624338623,16.260162601626014,28.42809364548495,1
Friendship,1213,75625,53097.0,55.5,275000,91.13924050632912,50.09596928982726,0.7662835249042145,91.59109645507007,9.975267930750206,39.58762886597938,26.63438256658595,1
Frye Island,34,61719,61697.0,70.8,635400,88.23529411764706,76.47058823529412,0.0,52.94117647058824,5.88235294117647,52.94117647058824,-14.285714285714285,0
Fryeburg,3489,56076,35823.0,53.3,268600,82.47491638795987,66.00311041990669,2.827521206409048,94.0384064201777,10.695344725987036,24.620510921880783,-11.888111888111887,0
Gardiner,6088,71782,38973.0,42.0,221600,68.2051282051282,64.34916956353804,7.472989195678272,88.97831800262811,10.45446978525054,29.797404962440243,-15.471447543160693,0
Garland,823,51094,30678.0,53.5,205400,87.53462603878116,49.05933429811867,5.604719764011799,92.70959902794654,19.26829268292683,16.79506933744222,44.08945686900958,1
Georgetown,1012,84250,47897.0,55.8,427200,83.3675564681725,63.941769316909294,3.502626970227671,87.35177865612648,6.324110671936759,40.40660736975858,-32.13859020310633,0
Gilead,187,42344,34934.0,58.9,235000,56.481481481481474,47.5609756097561,3.8461538461538463,93.04812834224599,10.81081081081081,18.75,4.918032786885249,1
Glenburn,4737,97474,45909.0,47.7,276900,81.70854271356785,69.84600099354198,1.6002844950213373,98.05784251636057,7.1337849280270955,20.803123257110986,20.52556818181818,1
Gorham,18300,112312,51367.0,39.4,460900,81.46473779385171,70.0215720641769,2.5608934244728987,86.46994535519126,3.7135118868492327,44.3159922928709,-20.591928251121082,0
Gouldsboro,1615,60873,37358.0,60.2,276800,82.7250608272506,48.727015558698724,0.0,98.20433436532508,7.18266253869969,30.38842345773039,10.758377425044095,1
Grand Isle,407,35417,32407.0,60.3,85000,71.30044843049326,40.10989010989011,13.013698630136986,99.5085995085995,20.884520884520885,13.450292397660817,19.111111111111107,1
Gray,8429,95236,50161.0,43.4,363700,82.3851203501094,68.97768991810224,3.336745138178096,87.1396369676118,3.549586281328696,44.75743348982786,-0.7159904534606198,0
Great Pond,42,22292,31850.0,68.5,197900,92.5925925925926,33.33333333333333,15.384615384615385,100.0,14.285714285714285,38.46153846153847,23.80952380952381,1
Greenbush,1378,60321,29342.0,42.3,131000,88.1508078994614,67.40425531914893,9.595959595959595,93.75907111756169,10.205580029368576,16.878048780487806,43.95604395604395,1
Greene,4417,98093,44842.0,39.7,270000,87.78935185185185,70.7227555053642,0.07984031936127745,91.48743491057279,13.86745347253745,22.211749921457745,30.71646341463415,1
Greenville,1355,63486,43772.0,60.3,268500,82.01133144475921,53.645007923930265,0.29542097488921715,95.12915129151291,13.723978411719354,26.416666666666664,17.687074829931973,1
Greenwood,781,76146,44542.0,45.5,228700,68.87608069164266,67.05370101596516,0.0,82.4583866837388,8.678756476683938,19.393939393939394,-1.8549747048903882,0
Guilford,1096,53173,30457.0,53.5,170100,78.35951134380453,56.451612903225815,3.428571428571429,96.07664233576642,14.872262773722628,10.468920392584515,29.883570504527817,1
Hallowell,2592,68398,46949.0,50.3,295300,58.33979829325058,63.539350822587814,0.27991602519244224,98.72685185185185,7.807443365695793,52.52822778595975,-49.492671927846686,0
